Title,Characters,Genre,Genre2,Series Air date/Released,TV - Air Date of BPD Dx 'reveal',"TV - Season, Episode",Year,BipolarContent,Attention
Homeland,"Carrie Mathison, Frank Mathison",Drama,Fiction,10/2/11,10/2/11,"S1E1 ""Pilot""",2011,6,4
Empire,Andre Lyon,Drama,Fiction,1/7/15,1/14/15,"S1E2, ""The Outspoken King""",2015,5,5
ER,"Maggie Wyczenski (Abby's Mother), Eric Lockhart",Drama,Fiction,9/19/94,11/16/00,"S7E6 ""The Visit""",2000,5.5,3
Shameless,"Ian Gallagher, Monica Gallagher",Comedy,Fiction,1/9/11,4/6/14,"S4E12 ""Lazarus""",2014,5.5,4
My Friend Paul,Paul,Documentary,Documentary,1/25/99,,,1999,6,0.2
Intimate Portrait: Margot Kidder,Margot Kidder,Documentary,Documentary,5/27/99,,,1999,5.85,0.1
Call Me Anna,Patty Duke,Drama,Fiction,,11/11/90,,1990,5.9,0
In the Best Interest of the Children,Callie Cain,Drama,Fiction,2/16/92,,,1992,6.15,0
Degrassi: The Next Generation,Craig Manning,Drama,Fiction,10/14/01,3/4/05,"S4E12, ""Voices Carry 2""",2005,5.9,0.2
A Summer in the Cage,"Sam, Sam's Father",Documentary,Documentary,10/22/07,,,2007,6.1,1
A Bipolar Expedition,Paul Downes,Documentary,Documentary,5/25/10,,,2010,6,1.1
Bipolar,Harry Poole,Horror,Fiction,5/25/14,,,2014,6,2
Mad Love,Casey Roberts,Drama,Fiction,5/26/95,,,1995,6,2.1
Running from Crazy,Mariel Hemingway,Documentary,Documentary,1/7/13,4/27/1024,,2013,6,3
Black Box,"Catherine Black, Karina Black",Drama,Fiction,4/24/14,4/24/14,"S1E1 ""Kiss the Sky""",2014,6,3.1
Silver Linings Playbook,Pat Solitano,Drama,Fiction,12/25/12,,,2012,6.01,6
A Fine Madness,Samson Shillitoe,Comedy,Fiction,6/29/66,,,1966,6.01,1.1
Boy Interrupted,Evan Perry,Documentary,Documentary,9/5/09,,,2009,6.9,1
Flight from Darkness: A Bipolar Disorder Documentary,Percy Paul,Documentary,Documentary,11/27/06,,,2006,7,1.1
Mr. Jones,Mr. Jones,Drama,Fiction,10/8/93,,,1993,7.01,1
Bipolar: A Narration of Manic Depression,Andrew Gony,Drama,Fiction,,,,2011,6.9,2
Bipolarized,Ross McKenzie,Documentary,Documentary,5/31/13,,,2014,7.2,2.1
Of Two Minds,"Cheri Keating, Carlton Davis, Liz Spikol, Jenifer Lewis, Terri Cheney, Samantha, Miya, Petey",Documentary,Documentary,2012,,,2012,7.15,2
"Pack Up Your Sorrows: A Story of Illness, Hope & Transformation",Meg Hutchinson,Documentary,Documentary,6/28/15,,,2015,6.85,2.15
Up/Down,"Penny, Amanda, Christina, Diana, Erin, Greg, John, Kyle, Michelle, Misty, Nancy, Nancy, Pace, Sasha, Sheldon",Documentary,Documentary,2011,,,2011,7.1,1.85
Stephen Fry: The Secret Life of the Manic Depressive,"Stephen Fry, Carrie Fisher, Ian Jensen, Todd Jensen, Rod Harvey, Rick Stein's Father, Gaynor Thomas, Tony Slattery, Connie Perris, Richard Dreyfuss, Zoe Schwarz, Andy Behrman, Liz Miller, Elaine Oakes, Cordelia Feldman",Documentary,Documentary,9/19/06,,,2006,7,2.1
Stephen Fry: The Not-So-Secret Life of the Manic Depressive,"Stephen Fry, Cordelia Feldman, Alika Agidi-Jeffs, Scott Martin, Rachel Edwards",Documentary,Documentary,3/5/16,3/5/16,,2016,7.015,2.2
